Feed of hostnames found in certificate transparency logs that are related to the COVID-19 pandemic.

Disclaimer:
Not every hostname in this list is malicious. This is just a feed of hostnames that appear
to be related to COVID-19. While this feed is useful for hunting for COVID-19 scams / malware,
there are likely legitimate sites in this data.

Changelog:
- Sat Mar 14 14:35:56 CDT 2020 -- initial release. started scanning last night
  so collection has been running about 18 hours at this point. Also updated
  collection logic to account for potential false positives.

- Sat Mar 14 15:13:45 CDT 2020 -- Added timestamp to feed.
  Timestamps with "2020-03-14 15:11:20.684411" were before I added timestamp support

- Sun Mar 15 16:53:14 CDT 2020 -- changed feed data to be CSV format

Feed:
date,time,hostname
2020-03-14,15:11:20.684411,covid-19.bar
2020-03-14,15:11:20.684411,covid19.bpfclinic.com
2020-03-14,15:11:20.684411,covid19careone.com
2020-03-14,15:11:20.684411,covid19.cciwa.com
2020-03-14,15:11:20.684411,covid19check.nl
2020-03-14,15:11:20.684411,covid19clothing.co.uk
2020-03-14,15:11:20.684411,covid19cms.ibew.work
2020-03-14,15:11:20.684411,covid-19.cnapadova.it
2020-03-14,15:11:20.684411,covid19co118torino.altervista.org
2020-03-14,15:11:20.684411,covid19.combros.vn
2020-03-14,15:11:20.684411,covid19.com.pl
2020-03-14,15:11:20.684411,covid19connect.com
2020-03-14,15:11:20.684411,covid19.consulting
2020-03-14,15:11:20.684411,covid-19-coronavirus.es
2020-03-14,15:11:20.684411,covid19count.com
2020-03-14,15:11:20.684411,covid19.cwerner.ai
2020-03-14,15:11:20.684411,covid-19.direct
2020-03-14,15:11:20.684411,covid-19.ebscomedical.com
2020-03-14,15:11:20.684411,covid19effects.com
2020-03-14,15:11:20.684411,covid19.emergencias.org.mx
2020-03-14,15:11:20.684411,covid-19ers.com
2020-03-14,15:11:20.684411,covid-19facts.com
2020-03-14,15:11:20.684411,covid19fundraisers.com
2020-03-14,15:11:20.684411,covid19fundraisers.org
2020-03-14,15:11:20.684411,covid19globe.remimstr.com
2020-03-14,15:11:20.684411,covid19.gorter.io
2020-03-14,15:11:20.684411,covid19.guru
2020-03-14,15:11:20.684411,covid19indianapolis.com
2020-03-14,15:11:20.684411,covid19insider.com
2020-03-14,15:11:20.684411,covid-19.ipleiria.pt
2020-03-14,15:11:20.684411,covid-19.iss.it
2020-03-14,15:11:20.684411,covid19kit.quang.ca
